time,open,high,low,close,volume,Numberoftrades,TakerVolume
2024-07-05 16:00:00,2989.97,2994.87,2975.00,2983.00,32336.770,50853,15931.776
2024-07-05 16:15:00,2982.99,3000.50,2978.40,2982.00,40912.513,57264,19912.343
2024-07-05 16:30:00,2982.00,2982.81,2970.02,2971.62,45554.487,57320,20205.733
2024-07-05 16:45:00,2971.62,2976.86,2960.33,2966.29,33512.536,50032,16012.212
2024-07-05 17:00:00,2966.30,2976.02,2959.83,2976.02,28426.447,40047,14968.221
2024-07-05 17:15:00,2976.04,2991.38,2975.99,2984.70,28111.271,38305,16098.798
2024-07-05 17:30:00,2984.71,2992.64,2977.54,2983.49,25344.440,41681,10888.838
2024-07-05 17:45:00,2983.28,2995.82,2982.02,2989.67,24295.844,33750,10326.614
2024-07-05 18:00:00,2989.68,2992.36,2968.50,2970.76,31058.378,41612,13814.087
2024-07-05 18:15:00,2970.76,2984.63,2956.52,2978.71,35927.106,53266,18088.401
2024-07-05 18:30:00,2978.72,2990.84,2976.80,2982.82,21891.761,35750,11098.160
2024-07-05 18:45:00,2982.83,2995.00,2981.84,2991.86,22699.587,31073,13387.577
2024-07-05 19:00:00,2991.86,2994.34,2980.08,2983.08,28460.891,36826,11338.390
2024-07-05 19:15:00,2983.08,2995.77,2978.63,2993.14,20088.191,30533,10092.659
2024-07-05 19:30:00,2993.14,2993.79,2983.29,2989.10,10319.504,23467,4878.236
2024-07-05 19:45:00,2989.10,2991.75,2979.46,2986.52,14521.538,23384,8596.751
2024-07-05 20:00:00,2986.51,2987.05,2973.82,2973.82,14007.060,22863,6127.699
2024-07-05 20:15:00,2973.82,2974.72,2966.92,2968.90,17172.672,22591,8288.824
2024-07-05 20:30:00,2968.90,2971.25,2962.22,2966.17,11171.762,18106,5323.985
2024-07-05 20:45:00,2966.17,2974.80,2966.16,2972.91,11576.055,18545,7488.561
2024-07-05 21:00:00,2972.91,2979.00,2971.56,2979.00,7241.754,16703,4064.197
2024-07-05 21:15:00,2978.99,2981.44,2968.25,2970.68,8822.388,17702,3997.721
2024-07-05 21:30:00,2970.68,2987.66,2970.67,2977.00,12768.113,22789,6589.036
2024-07-05 21:45:00,2976.99,2986.55,2975.94,2976.68,8629.295,18630,4939.871
2024-07-05 22:00:00,2976.68,2978.44,2965.04,2973.28,15275.256,26668,7368.327
2024-07-05 22:15:00,2973.29,2987.98,2973.28,2985.99,14906.862,25762,7850.332
2024-07-05 22:30:00,2985.99,2988.00,2979.37,2979.55,11309.643,21375,5763.309
2024-07-05 22:45:00,2979.55,2984.29,2971.95,2976.12,13108.272,21334,7708.989
2024-07-05 23:00:00,2976.11,2987.00,2974.46,2987.00,9770.769,18933,6050.857
2024-07-05 23:15:00,2987.00,2991.84,2980.58,2989.69,12495.303,25555,6743.441
2024-07-05 23:30:00,2989.70,2992.52,2983.31,2989.70,11615.517,21391,6287.346
2024-07-05 23:45:00,2989.70,2991.87,2978.73,2980.43,8877.671,17210,4020.132
2024-07-06 00:00:00,2980.37,2985.56,2969.23,2974.39,26300.996,35689,13048.626
2024-07-06 00:15:00,2974.39,2983.77,2970.07,2981.59,12623.805,28948,6618.684
2024-07-06 00:30:00,2981.60,3026.40,2979.60,3015.16,84880.439,90297,47832.743
2024-07-06 00:45:00,3015.16,3015.93,2983.55,2985.90,42342.300,59942,17517.995
2024-07-06 01:00:00,2985.90,2987.65,2970.10,2980.53,30836.779,45079,15150.464
2024-07-06 01:15:00,2980.52,2983.24,2970.53,2973.11,16266.909,31016,6749.508
2024-07-06 01:30:00,2973.11,2974.32,2960.16,2965.66,21014.785,37823,9300.592
2024-07-06 01:45:00,2965.65,2968.87,2960.00,2961.48,15261.916,25987,7354.967
2024-07-06 02:00:00,2961.49,2969.04,2953.45,2955.17,33982.871,46121,17560.665
2024-07-06 02:15:00,2955.17,2972.32,2955.16,2969.66,21342.275,32385,14462.608
2024-07-06 02:30:00,2969.66,2985.99,2968.94,2979.82,17709.646,32812,9523.992
2024-07-06 02:45:00,2979.83,2984.14,2977.51,2979.29,6781.022,19389,3108.648
2024-07-06 03:00:00,2979.30,2981.38,2974.13,2974.39,7517.790,18118,2544.883
2024-07-06 03:15:00,2974.38,2983.00,2971.36,2973.00,15084.579,24585,6118.308
2024-07-06 03:30:00,2972.99,2981.29,2968.84,2980.72,10590.127,20083,5141.313
2024-07-06 03:45:00,2980.71,2982.80,2976.00,2978.95,7145.308,15137,3182.178
2024-07-06 04:00:00,2978.94,2981.36,2970.00,2974.99,10180.366,18862,5199.278
2024-07-06 04:15:00,2974.99,2975.77,2967.24,2971.45,8158.737,17023,4075.677
