time,open,high,low,close,volume
2022-10-28 00:00:00+00:00,1514.2,1514.3,1512.7,1512.7,345218.3403
2022-10-28 00:01:00+00:00,1512.4,1512.4,1510.0,1510.9,309779.3557
2022-10-28 00:02:00+00:00,1510.8,1513.8,1509.0,1513.1,9403678.9418
2022-10-28 00:03:00+00:00,1513.4,1514.2,1512.3,1513.9,1082756.0201
2022-10-28 00:04:00+00:00,1513.9,1515.8,1513.7,1515.8,882292.6495
2022-10-28 00:05:00+00:00,1515.8,1515.8,1514.4,1515.2,240018.8916
2022-10-28 00:06:00+00:00,1515.1,1515.4,1514.1,1514.7,326174.788
2022-10-28 00:07:00+00:00,1514.6,1516.5,1514.6,1516.5,240703.0856
2022-10-28 00:08:00+00:00,1516.5,1517.6,1516.5,1516.5,294760.7754
2022-10-28 00:09:00+00:00,1516.4,1518.3,1516.3,1517.6,556923.4852
2022-10-28 00:10:00+00:00,1517.6,1517.6,1513.1,1513.6,872621.6115
2022-10-28 00:11:00+00:00,1513.5,1513.6,1512.4,1512.8,278586.7234
2022-10-28 00:12:00+00:00,1512.6,1512.7,1511.0,1511.0,465340.9937
2022-10-28 00:13:00+00:00,1511.3,1511.8,1510.8,1511.0,345996.475
2022-10-28 00:14:00+00:00,1511.0,1511.3,1508.8,1511.0,504894.1789
2022-10-28 00:15:00+00:00,1511.4,1512.8,1511.3,1512.8,492058.413
2022-10-28 00:16:00+00:00,1512.0,1512.7,1511.3,1512.4,269862.609
2022-10-28 00:17:00+00:00,1512.1,1512.1,1508.1,1508.8,292253.384
2022-10-28 00:18:00+00:00,1508.9,1510.6,1506.4,1510.5,466752.1081
2022-10-28 00:19:00+00:00,1510.0,1510.7,1506.8,1507.0,310301.6298
2022-10-28 00:20:00+00:00,1506.9,1507.1,1503.0,1506.1,980162.2045
2022-10-28 00:21:00+00:00,1506.3,1507.6,1502.6,1502.6,3157408.7213
2022-10-28 00:22:00+00:00,1502.7,1511.3,1500.0,1510.2,2161677.8576
2022-10-28 00:23:00+00:00,1511.1,1511.6,1509.0,1510.7,289934.2399
2022-10-28 00:24:00+00:00,1510.9,1514.8,1510.7,1514.6,667693.7381
2022-10-28 00:25:00+00:00,1514.8,1516.2,1514.3,1515.7,411427.1911
2022-10-28 00:26:00+00:00,1515.9,1516.6,1513.4,1514.3,106091.2483
2022-10-28 00:27:00+00:00,1514.4,1515.6,1513.9,1514.5,36348.7279
2022-10-28 00:28:00+00:00,1514.0,1514.3,1512.8,1512.8,262181.374
2022-10-28 00:29:00+00:00,1512.8,1512.8,1511.6,1512.6,58280.0519
2022-10-28 00:30:00+00:00,1513.1,1514.4,1513.1,1514.4,247988.3162
2022-10-28 00:31:00+00:00,1514.7,1516.4,1514.7,1516.2,78517.1352
2022-10-28 00:32:00+00:00,1515.6,1518.1,1515.0,1518.0,120183.0238
2022-10-28 00:33:00+00:00,1518.2,1520.0,1518.1,1519.5,82514.315
2022-10-28 00:34:00+00:00,1519.5,1520.6,1518.6,1519.7,214860.4273
2022-10-28 00:35:00+00:00,1519.3,1522.0,1518.0,1522.0,83129.3489
2022-10-28 00:36:00+00:00,1521.8,1522.2,1520.1,1521.5,226986.268
2022-10-28 00:37:00+00:00,1522.0,1523.3,1521.1,1521.1,283770.3388
2022-10-28 00:38:00+00:00,1520.9,1521.7,1520.6,1521.1,130705.2091
2022-10-28 00:39:00+00:00,1521.2,1523.4,1521.1,1523.1,267778.3573
2022-10-28 00:40:00+00:00,1522.0,1522.0,1520.2,1521.4,82900.288
2022-10-28 00:41:00+00:00,1520.9,1521.5,1520.8,1521.0,7915.2799
2022-10-28 00:42:00+00:00,1520.0,1520.6,1519.6,1520.3,4698.0492
2022-10-28 00:43:00+00:00,1520.4,1520.4,1519.5,1519.5,3581.6237
2022-10-28 00:44:00+00:00,1519.1,1519.8,1519.0,1519.8,154317.6691
2022-10-28 00:45:00+00:00,1520.2,1520.8,1520.1,1520.1,17173.8848
2022-10-28 00:46:00+00:00,1520.5,1521.9,1519.9,1521.1,663222.2791
2022-10-28 00:47:00+00:00,1521.6,1522.5,1521.4,1521.6,38000.1944
2022-10-28 00:48:00+00:00,1522.0,1522.0,1520.6,1520.6,13332.0283
2022-10-28 00:49:00+00:00,1520.8,1521.9,1520.5,1521.9,30969.0991
2022-10-28 00:50:00+00:00,1521.8,1521.8,1516.7,1519.3,1514858.0121
2022-10-28 00:51:00+00:00,1519.2,1519.2,1516.3,1519.0,1131750.895
2022-10-28 00:52:00+00:00,1519.2,1520.0,1519.0,1519.4,238826.1437
2022-10-28 00:53:00+00:00,1519.4,1519.4,1518.0,1519.0,128073.8891
2022-10-28 00:54:00+00:00,1519.1,1519.1,1518.0,1518.0,39082.4706
2022-10-28 00:55:00+00:00,1518.6,1518.6,1517.0,1517.4,212748.8093
2022-10-28 00:56:00+00:00,1518.0,1518.9,1517.9,1518.4,83138.694
2022-10-28 00:57:00+00:00,1518.5,1518.5,1518.1,1518.4,139714.5313
2022-10-28 00:58:00+00:00,1519.0,1519.8,1519.0,1519.3,69657.0655
2022-10-28 00:59:00+00:00,1519.2,1519.6,1519.2,1519.6,16627.3084
2022-10-28 01:00:00+00:00,1519.8,1520.1,1516.2,1516.2,505416.232
2022-10-28 01:01:00+00:00,1516.1,1517.2,1514.0,1514.3,854274.3539
