time,open,high,low,close,volume,Numberoftrades,TakerVolume
2024-08-04 23:15:00,2704.15,2714.21,2700.00,2712.24,30471.176,47334,16079.450
2024-08-04 23:30:00,2712.25,2713.39,2701.05,2703.32,20631.642,33676,8305.477
2024-08-04 23:45:00,2703.32,2703.76,2680.00,2687.60,61593.569,64341,26417.642
2024-08-05 00:00:00,2687.60,2695.93,2648.61,2650.26,88166.414,96916,35861.851
2024-08-05 00:15:00,2650.26,2694.00,2647.50,2650.58,136565.239,152838,69839.048
2024-08-05 00:30:00,2650.58,2663.12,2600.18,2606.46,213006.439,212967,94806.784
2024-08-05 00:45:00,2606.46,2633.28,2475.25,2526.04,451355.708,363600,182623.270
2024-08-05 01:00:00,2526.04,2538.73,2112.00,2317.02,1054584.845,774936,460092.765
2024-08-05 01:15:00,2316.60,2388.00,2238.40,2321.88,675722.341,712309,322648.076
2024-08-05 01:30:00,2321.84,2383.55,2283.08,2349.30,298931.418,389855,153136.309
2024-08-05 01:45:00,2349.30,2358.20,2306.02,2317.37,290578.277,289069,134290.781
2024-08-05 02:00:00,2317.37,2331.84,2250.18,2263.19,261981.020,295067,115148.284
2024-08-05 02:15:00,2263.12,2303.86,2204.18,2283.01,295273.645,287217,138432.562
2024-08-05 02:30:00,2283.01,2314.17,2254.24,2263.78,179477.259,187035,87492.317
2024-08-05 02:45:00,2263.56,2337.15,2255.03,2332.87,184898.897,196954,97748.827
2024-08-05 03:00:00,2332.88,2335.00,2284.12,2295.49,153919.462,172053,74323.457
2024-08-05 03:15:00,2295.49,2328.84,2289.01,2314.22,124731.812,143224,65924.628
2024-08-05 03:30:00,2314.23,2331.97,2303.53,2331.54,84719.503,106713,40084.744
2024-08-05 03:45:00,2331.55,2343.68,2310.00,2311.67,123082.574,117398,58898.414
2024-08-05 04:00:00,2311.64,2377.58,2305.85,2374.90,152154.801,143482,90435.778
2024-08-05 04:15:00,2374.91,2384.97,2350.00,2353.04,111993.530,126931,45276.765
2024-08-05 04:30:00,2353.04,2360.00,2334.20,2350.70,80920.441,100461,40388.874
2024-08-05 04:45:00,2350.70,2357.59,2334.06,2335.00,70596.611,91589,28855.052
2024-08-05 05:00:00,2335.00,2337.26,2260.38,2303.31,228447.014,218889,101969.550
2024-08-05 05:15:00,2303.31,2354.20,2288.93,2343.71,179669.968,199174,92475.070
2024-08-05 05:30:00,2343.72,2364.59,2316.40,2339.62,134340.708,167530,66013.662
2024-08-05 05:45:00,2339.61,2353.89,2302.06,2310.31,126213.483,153143,63123.541
2024-08-05 06:00:00,2310.31,2321.44,2267.17,2280.43,204645.608,227142,102353.879
