time,open,high,low,close,volume
2022-08-01 00:00:00+00:00,1678.3,1681.5,1673.9,1676.6,13063347.0779
2022-08-01 00:15:00+00:00,1676.8,1687.8,1674.8,1686.6,9639428.9143
2022-08-01 00:30:00+00:00,1686.5,1690.7,1682,1686.5,9475433.27
2022-08-01 00:45:00+00:00,1686.6,1691,1686.6,1687.7,7061562.1731
2022-08-01 01:00:00+00:00,1688,1689.8,1683.9,1689.8,1870023.2327
2022-08-01 01:15:00+00:00,1690,1699.1,1685.7,1697.2,5938025.1593
2022-08-01 01:30:00+00:00,1696.9,1697.9,1693.7,1696.2,2488721.7484
2022-08-01 01:45:00+00:00,1696.8,1697,1692,1697,1058812.5382
2022-08-01 02:00:00+00:00,1696.7,1704.8,1693,1699.6,4846881.1851
2022-08-01 02:15:00+00:00,1698,1700,1695.2,1696,1156026.6427
2022-08-01 02:30:00+00:00,1698,1698.6,1690.7,1692.7,2960069.4073
2022-08-01 02:45:00+00:00,1693.1,1696.3,1691.4,1695,4514566.22
2022-08-01 03:00:00+00:00,1694.8,1696.3,1690.5,1692.1,1151170.4956
2022-08-01 03:15:00+00:00,1692,1692.1,1682.7,1684.8,5216640.556
2022-08-01 03:30:00+00:00,1684.9,1687.5,1684.4,1685.7,2597963.5301
2022-08-01 03:45:00+00:00,1685.6,1693.3,1685,1691.6,3240817.8195
2022-08-01 04:00:00+00:00,1692.4,1694.6,1688.6,1691.7,1886152.4645
2022-08-01 04:15:00+00:00,1691.7,1696,1689.2,1693.2,1352830.0995
2022-08-01 04:30:00+00:00,1693.3,1695.3,1692.2,1695.2,1043432.0628
2022-08-01 04:45:00+00:00,1694.3,1697.4,1691.4,1695.3,1083869.7479
2022-08-01 05:00:00+00:00,1695.1,1697.2,1688.6,1689.6,2596085.0501
2022-08-01 05:15:00+00:00,1689.4,1693.3,1687.7,1691.4,1614585.6992
2022-08-01 05:30:00+00:00,1691.2,1693.6,1684.4,1686.2,2594107.5248
2022-08-01 05:45:00+00:00,1685.4,1693.9,1683.8,1692,3171016.0246
2022-08-01 06:00:00+00:00,1691.7,1692.8,1685.5,1686.5,2192279.1064
2022-08-01 06:15:00+00:00,1686.1,1686.9,1675,1676.5,4394897.3602
2022-08-01 06:30:00+00:00,1676,1681.9,1675.6,1678.8,3247804.5861
2022-08-01 06:45:00+00:00,1678.6,1687.8,1678.6,1685.5,5291220.9327
2022-08-01 07:00:00+00:00,1685.9,1687.2,1681.7,1682,2347606.7226
2022-08-01 07:15:00+00:00,1681.9,1682.1,1673.5,1675.5,3798822.2405
2022-08-01 07:30:00+00:00,1675.9,1685.7,1674.7,1685.6,5289014.7177
2022-08-01 07:45:00+00:00,1685.7,1697,1685.5,1692.9,4506220.3544
2022-08-01 08:00:00+00:00,1692.6,1695.4,1690.4,1690.8,3290528.903
2022-08-01 08:15:00+00:00,1690.8,1694,1686.2,1686.6,2064723.7954
2022-08-01 08:30:00+00:00,1686.5,1691.6,1682.7,1683.8,4339171.7399
2022-08-01 08:45:00+00:00,1683.8,1686,1681.5,1683.2,3341364.2566
2022-08-01 09:00:00+00:00,1683.3,1690.3,1681.8,1690.3,670743.0494
2022-08-01 09:15:00+00:00,1690,1692.4,1686.5,1688.8,2427238.2151
2022-08-01 09:30:00+00:00,1688.9,1692.6,1688,1688.8,1820515.6753
2022-08-01 09:45:00+00:00,1689.1,1690.1,1684.3,1686.9,995596.3508
2022-08-01 10:00:00+00:00,1686.8,1688.4,1680.7,1681.1,812908.0078
2022-08-01 10:15:00+00:00,1681.4,1683.7,1678.6,1682.8,2796513.7281
2022-08-01 10:30:00+00:00,1682.8,1683.2,1671.1,1671.3,9091376.5207
2022-08-01 10:45:00+00:00,1671.2,1674.5,1650.8,1657.7,13935963.5122
2022-08-01 11:00:00+00:00,1657.3,1660.2,1642.1,1650,12735471.1632
2022-08-01 11:15:00+00:00,1650,1660.8,1648,1656.1,6024895.3623
2022-08-01 11:30:00+00:00,1656.5,1665.4,1654,1662.3,4697833.0097
2022-08-01 11:45:00+00:00,1662,1670.7,1661.8,1668.2,5447762.4721
2022-08-01 12:00:00+00:00,1668.5,1671.4,1663.9,1665.4,8039251.8915
2022-08-01 12:15:00+00:00,1665.4,1666.9,1659.9,1666.1,4106163.9127
2022-08-01 12:30:00+00:00,1666.2,1679.1,1660.7,1663.9,6874891.9071
2022-08-01 12:45:00+00:00,1664.4,1664.4,1653.8,1656.6,3853494.059
2022-08-01 13:00:00+00:00,1656.7,1658.1,1643.7,1645.5,13904127.0084
2022-08-01 13:15:00+00:00,1645.5,1656.7,1642.8,1649,7262533.894
2022-08-01 13:30:00+00:00,1649.5,1657.9,1636,1656.2,21703473.5402
2022-08-01 13:45:00+00:00,1656.3,1673.3,1652.8,1667.1,15163761.2204
2022-08-01 14:00:00+00:00,1666,1690.8,1663.3,1683.1,18608287.5441
2022-08-01 14:15:00+00:00,1684.2,1688.6,1667,1670.6,9573036.9745
2022-08-01 14:30:00+00:00,1670.8,1682.9,1668.6,1679.1,11933453.3406
2022-08-01 14:45:00+00:00,1679.4,1689,1679.1,1685.7,11160846.6672
2022-08-01 15:00:00+00:00,1686.2,1688,1676.1,1684.3,6804524.7056
2022-08-01 15:15:00+00:00,1684.2,1684.4,1672.9,1675.2,3543685.3149
2022-08-01 15:30:00+00:00,1675,1675,1666.5,1673,6166075.2378
2022-08-01 15:45:00+00:00,1673.9,1679.3,1671.4,1673.5,1975514.398
2022-08-01 16:00:00+00:00,1673.2,1673.3,1657.6,1660,5146259.9239
2022-08-01 16:15:00+00:00,1660,1663.9,1653.4,1661.2,8877572.8052
2022-08-01 16:30:00+00:00,1661,1662.9,1652,1659,8443703.0514
2022-08-01 16:45:00+00:00,1659,1661.3,1653.6,1655.1,3157289.203
2022-08-01 17:00:00+00:00,1654.8,1654.8,1644.4,1649.5,8911865.2382
2022-08-01 17:15:00+00:00,1650.6,1651,1631.3,1633.1,14967992.3319
2022-08-01 17:30:00+00:00,1632.7,1640.3,1627,1630.4,10703537.8715
2022-08-01 17:45:00+00:00,1629.8,1634,1624.4,1633.7,9207600.6413
2022-08-01 18:00:00+00:00,1633.5,1635.6,1627.3,1635.5,5982449.4002
2022-08-01 18:15:00+00:00,1635.9,1636.2,1624.2,1625.7,6836961.8363
2022-08-01 18:30:00+00:00,1625.1,1631.4,1616.9,1618,6524123.5087
2022-08-01 18:45:00+00:00,1619,1631.5,1616.5,1627.7,9493341.1779
2022-08-01 19:00:00+00:00,1627.6,1630.6,1622.4,1630.3,4355315.7794
2022-08-01 19:15:00+00:00,1629.9,1633.1,1620.2,1622.8,5740097.3295
2022-08-01 19:30:00+00:00,1622.8,1629.6,1620,1620.5,3265912.9049
2022-08-01 19:45:00+00:00,1620.7,1625.2,1618,1622.8,5686656.3936
2022-08-01 20:00:00+00:00,1622.7,1626.6,1609.6,1621.8,6023233.2395
2022-08-01 20:15:00+00:00,1622.4,1631.1,1619.2,1626.1,11069937.6659
2022-08-01 20:30:00+00:00,1626.1,1628.9,1623.2,1624.5,7843032.1372
2022-08-01 20:45:00+00:00,1625.2,1630.7,1616.8,1630.7,7206129.1328
2022-08-01 21:00:00+00:00,1629.1,1635.5,1625.8,1633.5,6351263.5552
2022-08-01 21:15:00+00:00,1633.2,1634,1621.2,1627.5,4629071.2662
2022-08-01 21:30:00+00:00,1627,1627,1621.1,1622,1936918.8396
2022-08-01 21:45:00+00:00,1621.7,1624.6,1618.3,1624.5,3234751.603
2022-08-01 22:00:00+00:00,1624.6,1627.7,1606.6,1613.4,10906092.6154
2022-08-01 22:15:00+00:00,1612.9,1620,1611.2,1615.7,8997804.5514
2022-08-01 22:30:00+00:00,1615.5,1627.1,1613.9,1624.4,8091556.8572
2022-08-01 22:45:00+00:00,1624.5,1631.9,1621.6,1629.2,7434381.0897
2022-08-01 23:00:00+00:00,1629.3,1643.9,1628,1642.4,25963192.6539
2022-08-01 23:15:00+00:00,1642.6,1642.6,1633.8,1640,10136315.8149
2022-08-01 23:30:00+00:00,1639.6,1642,1635.3,1636.8,10360623.4874
2022-08-01 23:45:00+00:00,1636.8,1637.3,1623.8,1630.9,16430778.4879
2022-08-02 00:00:00+00:00,1630.8,1653,1627.6,1651.4,18874104.6437
2022-08-02 00:15:00+00:00,1651.2,1657,1641.8,1643.7,12925790.1771
2022-08-02 00:30:00+00:00,1644.1,1644.8,1633,1637.6,6700021.8875
2022-08-02 00:45:00+00:00,1637.4,1638,1629.8,1632.8,5532548.2159
2022-08-02 01:00:00+00:00,1633,1641.1,1632.3,1639.5,2764365.0457
2022-08-02 01:15:00+00:00,1640.4,1640.4,1628.3,1630.5,4154041.6524
2022-08-02 01:30:00+00:00,1629.6,1629.6,1606.5,1610,13504689.8532
2022-08-02 01:45:00+00:00,1610.2,1613.9,1598.4,1605.8,15929495.146
2022-08-02 02:00:00+00:00,1605,1612.9,1602.3,1608,4912594.9223
2022-08-02 02:15:00+00:00,1607.7,1614.4,1604.5,1605,13079817.4375
2022-08-02 02:30:00+00:00,1604.9,1605.8,1583.8,1592.8,28593459.3352
2022-08-02 02:45:00+00:00,1592.8,1594.7,1582.1,1589.2,10572771.0572
2022-08-02 03:00:00+00:00,1588.6,1588.8,1571.3,1573.6,15076400.4906
2022-08-02 03:15:00+00:00,1574.1,1580.1,1568.2,1573.7,14684515.0123
2022-08-02 03:30:00+00:00,1574.1,1579.9,1570.6,1577.1,12066087.7414
2022-08-02 03:45:00+00:00,1577.1,1585.3,1573.9,1577.6,11426540.6167
2022-08-02 04:00:00+00:00,1577.1,1586.1,1575.7,1582.9,10395872.9205
2022-08-02 04:15:00+00:00,1582.7,1583.6,1574.6,1575.2,8463921.6269
2022-08-02 04:30:00+00:00,1575.3,1578.9,1564.6,1566.4,8955570.4261
2022-08-02 04:45:00+00:00,1566.1,1577.3,1566.1,1576.4,9228848.726
2022-08-02 05:00:00+00:00,1576.2,1582.9,1574.3,1581.7,8469933.9796
2022-08-02 05:15:00+00:00,1581.7,1587.2,1577.4,1583.7,7801018.7256
2022-08-02 05:30:00+00:00,1583.7,1586.1,1581.3,1585.3,7636430.6197
2022-08-02 05:45:00+00:00,1585.4,1586.3,1577.9,1578.6,11545054.709
